DATE,CPIAUCSL
2020-06-30,-0.9434472666565052
2020-09-30,1.1374837771691793
2020-12-31,0.6974187534154019
2021-03-31,1.0038958103757878
2021-06-30,1.8782292534490708
2021-09-30,1.5885976363374965
2021-12-31,2.12185618136731
2022-03-31,2.2052746216991936
2022-06-30,2.415626850544994
2022-09-30,1.303594139768438
2022-12-31,0.992186363190295
2023-03-31,0.9254760572441345
2023-06-30,0.7515418726462331
2023-09-30,0.846111599297017
2023-12-31,0.6746519726000155
2024-03-31,0.9382265657034594
2024-06-30,0.6979867498276837
2024-09-30,0.3044233997281376
2024-12-31,0.42670328469207597
